zip,2006,2009,2019,2023,RecPr,RevPr,CovPr,TotPr,RecPc,RevPc,CovPc,TotPc
85003,378267.58,234651.78,433846.82,678744.35,-143615.80000000002,199195.04,244897.52999999997,300476.76999999996,-37.97,84.89,56.45,79.43
85004,219898.28,132668.62,304682.2,472755.48,-87229.66,172013.58000000002,168073.27999999997,252857.19999999998,-39.67,129.66,55.16,114.99
85006,177278.87,90798.43,280123.98,442107.7,-86480.44,189325.55,161983.72000000003,264828.83,-48.78,208.51,57.83,149.39
85007,219012.35,110243.62,273038.93,432713.79,-108768.73000000001,162795.31,159674.86,213701.43999999997,-49.66,147.67,58.48,97.58
85008,159335.33,90275.31,259682.5,402763.21,-69060.01999999999,169407.19,143080.71000000002,243427.88000000003,-43.34,187.66,55.1,152.78
85009,138699.34,53452.32,180267.14,299231.53,-85247.01999999999,126814.82,118964.39000000001,160532.19000000003,-61.46,237.25,65.99,115.74
85012,495535.27,332147.7,562607.9,877608.9,-163387.57,230460.2,315001.0,382073.63,-32.97,69.38,55.99,77.1
85013,274790.1,166136.0,361832.55,552613.19,-108654.09999999998,195696.55,190780.63999999996,277823.08999999997,-39.54,117.79,52.73,101.1
85014,256275.75,151797.16,343960.49,523457.29,-104478.59,192163.33,179496.8,267181.54,-40.77,126.59,52.19,104.26
85015,184296.49,88807.17,242957.72,388039.82,-95489.31999999999,154150.55,145082.1,203743.33000000002,-51.81,173.58,59.71,110.55
85016,328358.95,196996.74,388739.5,587354.52,-131362.21000000002,191742.76,198615.02000000002,258995.57,-40.01,97.33,51.09,78.88
85017,136923.64,53312.34,195177.9,325336.04,-83611.30000000002,141865.56,130158.13999999998,188412.39999999997,-61.06,266.1,66.69,137.6
85018,573810.48,376460.66,674676.48,1083244.67,-197349.82,298215.82,408568.18999999994,509434.18999999994,-34.39,79.22,60.56,88.78
85019,162052.27,62129.47,209926.18,341075.71,-99922.79999999999,147796.71,131149.53000000003,179023.44000000003,-61.66,237.89,62.47,110.47
