zip code,lat,lng,city,state_id,state_name,,,,,,,,,,,,
85003,33.45059,-112.07833,Phoenix,AZ,Arizona,TRUE,,9085,1885.8,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85004,33.45159,-112.06988,Phoenix,AZ,Arizona,TRUE,,10548,1984.2,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85006,33.46511,-112.04778,Phoenix,AZ,Arizona,TRUE,,24308,2366.1,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85007,33.44682,-112.09073,Phoenix,AZ,Arizona,TRUE,,13939,1169,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85008,33.46355,-111.98746,Phoenix,AZ,Arizona,TRUE,,61759,2330.7,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85009,33.44457,-112.12661,Phoenix,AZ,Arizona,TRUE,,52420,1381.4,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85012,33.50719,-112.07024,Phoenix,AZ,Arizona,TRUE,,7871,1348.1,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85013,33.51001,-112.08294,Phoenix,AZ,Arizona,TRUE,,20662,2165,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85014,33.50903,-112.05665,Phoenix,AZ,Arizona,TRUE,,25843,2470,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85015,33.50908,-112.10184,Phoenix,AZ,Arizona,TRUE,,42594,3352.5,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
85016,33.50953,-112.03041,Phoenix,AZ,Arizona,TRUE,,37025,1744.2,04013,Maricopa,"{""04013"": 100}",Maricopa,04013,FALSE,FALSE,America/Phoenix
